É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:51:27

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2011/12/1,6.7,9.2,5.5
2011/12/2,4.8,6.8,2.7
2011/12/3,9.3,13.3,5.2
2011/12/4,11.7,15.4,7.0
2011/12/5,9.4,15.2,5.2
2011/12/6,6.7,9.6,2.7
2011/12/7,7.1,12.3,2.5
2011/12/8,5.7,8.2,3.3
2011/12/9,4.6,10.6,0.8
2011/12/10,4.4,10.6,-1.1
2011/12/11,6.9,14.6,0.3
2011/12/12,6.8,14.1,0.0
2011/12/13,8.7,13.5,4.5
2011/12/14,6.5,10.8,2.4
2011/12/15,7.8,16.8,1.0
2011/12/16,6.3,13.8,0.2
2011/12/17,3.7,9.6,-0.4
2011/12/18,4.5,12.5,-1.9
2011/12/19,3.5,9.2,-1.4
2011/12/20,4.6,10.5,-0.8
2011/12/21,2.3,7.1,-1.4
2011/12/22,2.8,7.4,-1.5
2011/12/23,4.5,8.6,0.8
2011/12/24,3.3,8.8,-1.1
2011/12/25,3.4,9.4,-1.2
2011/12/26,2.4,8.0,-1.2
2011/12/27,2.8,9.1,-2.4
2011/12/28,3.5,9.5,-0.9
2011/12/29,3.6,9.3,-1.9
2011/12/30,4.5,9.2,0.8
2011/12/31,4.0,10.3,-0.5
2012/1/1,2.3,8.5,-1.7
2012/1/2,3.3,11.6,-2.6
2012/1/3,5.0,10.7,2.1
2012/1/4,3.0,10.2,-2.5
2012/1/5,2.9,8.6,-1.6
2012/1/6,4.6,11.0,-1.0
2012/1/7,4.0,9.1,0.0
2012/1/8,3.5,9.5,-2.0
2012/1/9,2.6,9.5,-2.8
2012/1/10,4.3,10.6,-2.9
2012/1/11,3.3,11.1,-0.4
2012/1/12,1.7,7.4,-2.3
2012/1/13,3.8,12.0,-4.0
2012/1/14,3.4,8.5,-0.1
2012/1/15,3.7,7.9,-0.7
2012/1/16,3.3,5.1,2.0
2012/1/17,3.3,8.1,-1.0
2012/1/18,2.0,8.3,-4.5
2012/1/19,4.4,10.5,-2.0
2012/1/20,1.7,3.2,0.5
2012/1/21,3.1,4.3,2.0
2012/1/22,4.9,8.3,1.9
2012/1/23,4.2,9.3,1.1
2012/1/24,2.3,7.1,-1.3
2012/1/25,2.5,9.3,-2.7
2012/1/26,1.3,6.1,-2.7
2012/1/27,0.5,7.5,-5.6
2012/1/28,0.6,6.0,-3.6
2012/1/29,0.7,6.2,-2.5
2012/1/30,0.9,6.5,-4.4
2012/1/31,1.9,9.8,-4.0
2012/2/1,1.4,9.1,-4.5
2012/2/2,0.6,4.9,-2.7
2012/2/3,1.2,7.5,-5.1
2012/2/4,3.3,12.2,-4.3
2012/2/5,4.4,9.6,-1.0
2012/2/6,3.0,6.2,-2.2
2012/2/7,7.1,11.6,4.1
2012/2/8,5.3,9.8,-0.2
2012/2/9,2.8,9.0,-2.2
2012/2/10,3.9,10.0,-1.5
2012/2/11,3.6,8.8,-0.7
2012/2/12,2.6,8.9,-2.6
2012/2/13,3.8,7.7,-1.1
2012/2/14,3.2,6.4,-0.3
2012/2/15,5.6,13.0,1.9
2012/2/16,2.6,6.1,0.0
2012/2/17,2.7,9.5,-2.5
2012/2/18,1.1,6.7,-2.2
2012/2/19,1.6,8.7,-5.4
2012/2/20,3.9,11.2,-2.5
2012/2/21,6.7,15.0,-2.1
2012/2/22,7.0,12.0,2.7
2012/2/23,7.5,13.2,4.6
2012/2/24,10.2,15.5,6.9
2012/2/25,5.5,8.4,2.8
2012/2/26,4.3,10.1,1.3
2012/2/27,3.0,8.3,-0.4
2012/2/28,2.1,7.2,-3.4
2012/2/29,1.4,2.8,0.2
2012/3/1,6.0,11.7,0.7
2012/3/2,5.1,6.7,4.1
2012/3/3,7.9,13.8,4.1
2012/3/4,4.9,7.2,2.3
2012/3/5,4.1,8.0,0.7
2012/3/6,10.6,17.8,4.5
2012/3/7,12.4,15.8,9.2
2012/3/8,9.2,10.7,7.5
2012/3/9,6.7,9.0,4.5
2012/3/10,5.5,8.6,3.9
2012/3/11,5.6,10.4,2.8
2012/3/12,4.9,10.6,0.4
2012/3/13,5.0,10.5,0.2
2012/3/14,5.4,11.3,-0.5
2012/3/15,5.5,12.5,-0.3
2012/3/16,6.3,11.6,0.5
2012/3/17,6.4,11.3,3.5
2012/3/18,7.9,11.3,3.8
2012/3/19,7.5,11.4,4.2
2012/3/20,7.5,14.3,0.9
2012/3/21,6.5,12.2,2.2
2012/3/22,7.3,13.3,-0.9
2012/3/23,9.0,11.7,6.4
2012/3/24,8.8,16.7,5.4
2012/3/25,7.4,14.6,1.9
2012/3/26,6.4,11.9,0.8
2012/3/27,8.3,15.6,1.1
2012/3/28,9.1,18.3,2.3
2012/3/29,11.1,19.0,4.8
2012/3/30,12.8,20.9,6.3
2012/3/31,11.1,20.2,5.5
