ダウンロードした時刻：2019/10/10 16:14:59

,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/12/1,,,
2016/12/2,,,
2016/12/3,,,
2016/12/4,,,
2016/12/5,,,
2016/12/6,,,
2016/12/7,,,
2016/12/8,,,
2016/12/9,,,
2016/12/10,,,
2016/12/11,,,
2016/12/12,,,
2016/12/13,,,
2016/12/14,,,
2016/12/15,,,
2016/12/16,,,
2016/12/17,,,
2016/12/18,,,
2016/12/19,,,
2016/12/20,,,
2016/12/21,,,
2016/12/22,,,
2016/12/23,,,
2016/12/24,,,
2016/12/25,,,
2016/12/26,,,
2016/12/27,,,
2016/12/28,,,
2016/12/29,,,
2016/12/30,,,
2016/12/31,,,
2017/1/1,,,
2017/1/2,,,
2017/1/3,,,
2017/1/4,,,
2017/1/5,,,
2017/1/6,,,
2017/1/7,,,
2017/1/8,,,
2017/1/9,,,
2017/1/10,,,
2017/1/11,,,
2017/1/12,,,
2017/1/13,,,
2017/1/14,,,
2017/1/15,,,
2017/1/16,,,
2017/1/17,,,
2017/1/18,,,
2017/1/19,,,
2017/1/20,,,
2017/1/21,,,
2017/1/22,,,
2017/1/23,,,
2017/1/24,,,
2017/1/25,,,
2017/1/26,,,
2017/1/27,,,
2017/1/28,,,
2017/1/29,,,
2017/1/30,,,
2017/1/31,,,
2017/2/1,,,
2017/2/2,,,
2017/2/3,,,
2017/2/4,,,
2017/2/5,,,
2017/2/6,,,
2017/2/7,,,
2017/2/8,,,
2017/2/9,,,
2017/2/10,,,
2017/2/11,,,
2017/2/12,,,
2017/2/13,,,
2017/2/14,,,
2017/2/15,,,
2017/2/16,,,
2017/2/17,,,
2017/2/18,,,
2017/2/19,,,
2017/2/20,,,
2017/2/21,,,
2017/2/22,,,
2017/2/23,,,
2017/2/24,,,
2017/2/25,,,
2017/2/26,,,
2017/2/27,,,
2017/2/28,,,
2017/3/1,,,
2017/3/2,,,
2017/3/3,,,
2017/3/4,,,
2017/3/5,,,
2017/3/6,,,
2017/3/7,,,
2017/3/8,,,
2017/3/9,,,
2017/3/10,6.4,11.7,2.9
2017/3/11,5.1,10.6,1.1
2017/3/12,6.5,14.5,0.1
2017/3/13,8.1,11.7,4.4
2017/3/14,7.9,12.5,5.3
2017/3/15,,,
2017/3/16,7.1,11.8,4.0
2017/3/17,6.6,12.9,0.9
2017/3/18,7.1,13.5,0.9
2017/3/19,9.2,16.7,2.0
2017/3/20,11.3,18.5,3.6
2017/3/21,8.5,10.8,6.9
2017/3/22,7.8,13.1,2.7
2017/3/23,8.2,13.6,4.0
2017/3/24,7.2,11.6,4.1
2017/3/25,7.3,13.6,2.3
2017/3/26,8.5,13.3,4.4
2017/3/27,8.1,13.1,3.9
2017/3/28,7.8,14.1,1.7
2017/3/29,9.8,15.5,4.4
2017/3/30,12.9,20.0,7.7
2017/3/31,7.0,10.8,4.7
